name,price,currency,price_per_m2,rooms,area
Dwupokojowe mieszkanie inwestycyjne,339000.0,zł,9686.0,2.0,35.0
3 pokoje | osobna kuchnia | balkon |,525000.0,zł,9259.0,3.0,56.7
"42 m2, 2 oddzielne pokoje, parking, przy AGH.",610000.0,zł,14524.0,2.0,42.0
3 pokoje|2 Miejsca postojowe Gratis| Promocja,507643.0,zł,9528.0,3.0,53.28
"Kraków Stare Miasto, ul. Oskara Kolberga 16",3379000.0,zł,15500.0,6.0,218.0
4 Pokoje-Podgórze-Rydlówka-Rondo Matecznego!,966042.0,zł,14240.0,4.0,67.84
Niepowtarzalne urządzone mieszkanie na Kazimierzu,981950.9,",90zł",19999.0,2.0,49.1
Właściciel Sprzedam 2- pokojowe \ ok Wadowicka,320000.0,zł,9846.0,2.0,32.5
Mieszkanie ul. Wrocławska - bez pośredników,569000.0,zł,17242.0,2.0,33.0
Ustawne i jasne |osobna kuchnia |dobra komunikacja,664000.0,zł,9831.0,3.0,67.54
"Nowa Huta, Mistrzejowice, 3 pokoje, jasna kuchnia,",610000.0,zł,10000.0,3.0,61.0
Przestronne mieszkanie na poddaszu | Bronowice,879000.0,zł,15982.0,3.0,55.0
Mieszkanie 3-pok Dywizjonu 303 ZADBANE,670000.0,zł,13993.0,3.0,47.88
Przestronne dwu poziomowe mieszkanie blisko parku,1079000.0,zł,9899.0,4.0,109.0
3 Pokoje 48m2 Ul.Jana Brożka Balkon,649000.0,zł,13521.0,3.0,48.0
Przestronne Mieszkanie Rydlówka 40 | M15 Bud. A,971750.0,zł,13000.0,4.0,74.75
Ładne Mieszkanie Apartamenty Woźniców M68,677661.0,zł,11300.0,3.0,59.97
Funkcjonalne mieszkanie na północy Krakowa,609151.0,zł,10700.0,2.0,56.93
Mieszkanie 2-pokojowe 45m2 Kraków Kozłówek,499000.0,zł,11089.0,2.0,45.0
"Apartament 5 pokoi + taras, Wola Justowska",1572720.0,zł,13348.0,5.0,117.82
"2 pokojowe mieszkanie, Czyżyny, Kraków",449000.0,zł,14967.0,2.0,30.0
"2 gotowe pokoje, obok tramwaj, Bez Pcc, Bezpośredn",491472.0,zł,14400.0,2.0,34.13
Majówkowa Promocja ul Piaskowa B1/2,905652.0,zł,9900.0,4.0,91.48
Atmosferny apartament w samym Centrum Krakowa,1590000.0,zł,15900.0,3.0,100.0
"3 pokoje, 40 m2 po remoncie| os. Na Wzgórzach",435000.0,zł,10767.0,3.0,40.4
"OD WŁAŚCICIELA, 48m2 z dużym tarasem, DO ZAMIESZKA",650000.0,zł,13410.0,2.0,48.47
Nowoczesne i wyposażone 3 pokoje + balkon + garaż!,850000.0,zł,13912.0,3.0,61.1
Apartament z tarasem 35m2,690000.0,zł,16047.0,2.0,43.0
Dwupoziomowe mieszkanie na Zwierzyńcu,1240000.0,zł,11981.0,5.0,103.5
"Bieżanów - Prokocim, Idealne na start, widokowe!",466956.0,zł,10900.0,2.0,42.84
469 tys za 3pok 20min do Rynku-RACIBOROWICE.Piękne,469000.0,zł,8817.0,3.0,53.19
Nowoczesne mieszkanie 2 pokojowe os. Avia,529000.0,zł,14694.0,2.0,36.0
Przytulne mieszkanie w stylu BOHO blisko centrum,715000.0,zł,16373.0,2.0,43.67
Fort Natura | nowoczesne mieszkanie B2.3,,,,3.0,72.25
3-Pokojowe Mieszkanie Na Żabińcu,758000.0,zł,10938.0,3.0,69.3
Apartament 45 m^2 | wysoki standard |,969000.0,zł,21533.0,2.0,45.0
OKAZJA! 2 pokoje na Salwatorze/poddasze,590000.0,zł,15946.0,2.0,37.0
